generation, team A best, team A current, team B best, team B current, Dropped %
302, 0.2, 0.2, 0.2, 0.2, 0.0952381
303, 0.2, 0.2, 0.2, 0.2, 0.0952381
304, 0.2, 0.2, 0.2, 0.2, 0.0952381
305, 0.2, 0.2, 0.2, 0.2, 0.0952381
306, 0.2, 0.2, 0.2, 0.2, 0.0952381
307, 0.2, 0.2, 0.2, 0.2, 0.0952381
308, 0.2, 0.2, 0.2, 0.2, 0.0952381
309, 0.2, 0.2, 0.2, 0.2, 0.0952381
310, 0.2, 0.2, 0.2, 0.2, 0.0952381
311, 0.2, 0.2, 0.2, 0.2, 0.0952381
312, 0.2, 0.2, 0.2, 0.2, 0.0952381
313, 0.2, 0.2, 0.2, 0.2, 0.0952381
314, 0.2, 0.2, 0.2, 0.2, 0.0952381
315, 0.2, 0.2, 0.2, 0.2, 0.0952381
316, 0.2, 0.2, 0.2, 0.2, 0.0952381
317, 0.2, 0.2, 0.2, 0.2, 0.0952381
318, 0.2, 0.2, 0.2, 0.2, 0.0952381
319, 0.2, 0.2, 0.2, 0.2, 0.0952381
320, 0.2, 0.2, 0.2, 0.2, 0.0952381
321, 0.2, 0.2, 0.2, 0.2, 0.0952381
322, 0.2, 0.2, 0.2, 0.2, 0.0952381
323, 0.2, 0.2, 0.2, 0.2, 0.0952381
324, 0.2, 0.2, 0.2, 0.2, 0.0952381
325, 0.2, 0.2, 0.2, 0.2, 0.0952381
326, 0.2, 0.2, 0.2, 0.2, 0.0952381
327, 0.2, 0.2, 0.2, 0.2, 0.0952381
328, 0.2, 0.2, 0.2, 0.2, 0.0952381
329, 0.2, 0.2, 0.2, 0.2, 0.0952381
330, 0.2, 0.2, 0.2, 0.2, 0.0952381
331, 0.2, 0.2, 0.2, 0.2, 0.0952381
332, 0.2, 0.2, 0.2, 0.2, 0.0952381
333, 0.2, 0.2, 0.2, 0.2, 0.0952381
334, 0.2, 0.2, 0.2, 0.2, 0.0952381
335, 0.2, 0.2, 0.2, 0.2, 0.0952381
336, 0.2, 0.2, 0.2, 0.2, 0.0952381
337, 0.2, 0.2, 0.2, 0.2, 0.0952381
338, 0.2, 0.2, 0.2, 0.2, 0.0952381
339, 0.2, 0.2, 0.2, 0.2, 0.0952381
340, 0.2, 0.2, 0.2, 0.2, 0.0952381
341, 0.2, 0.2, 0.2, 0.2, 0.0952381
342, 0.2, 0.2, 0.2, 0.2, 0.0952381
343, 0.2, 0.2, 0.2, 0.2, 0.0952381
344, 0.2, 0.2, 0.2, 0.2, 0.0952381
345, 0.2, 0.2, 0.2, 0.2, 0.0952381
346, 0.2, 0.2, 0.2, 0.2, 0.0952381
347, 0.2, 0.2, 0.2, 0.2, 0.0952381
348, 0.2, 0.2, 0.2, 0.2, 0.0952381
349, 0.2, 0.2, 0.2, 0.2, 0.0952381
350, 0.2, 0.2, 0.2, 0.2, 0.0952381
351, 0.2, 0.2, 0.2, 0.2, 0.0952381
352, 0.2, 0.2, 0.2, 0.2, 0.0952381
353, 0.2, 0.2, 0.2, 0.2, 0.0952381
354, 0.2, 0.2, 0.2, 0.2, 0.0952381
355, 0.2, 0.2, 0.2, 0.2, 0.0952381
356, 0.2, 0.2, 0.2, 0.2, 0.0952381
357, 0.2, 0.2, 0.2, 0.2, 0.0952381
358, 0.2, 0.2, 0.2, 0.2, 0.0952381
359, 0.2, 0.2, 0.2, 0.2, 0.0952381
360, 0.2, 0.2, 0.2, 0.2, 0.0952381
361, 0.2, 0.2, 0.2, 0.2, 0.0952381
362, 0.2, 0.2, 0.2, 0.2, 0.0952381
363, 0.2, 0.2, 0.2, 0.2, 0.0952381
364, 0.2, 0.2, 0.2, 0.2, 0.0952381
365, 0.2, 0.2, 0.2, 0.2, 0.0952381
366, 0.2, 0.2, 0.2, 0.2, 0.0952381
367, 0.2, 0.2, 0.2, 0.2, 0.0952381
368, 0.2, 0.2, 0.2, 0.2, 0.0952381
369, 0.2, 0.2, 0.2, 0.2, 0.0952381
370, 0.2, 0.2, 0.2, 0.2, 0.0952381
371, 0.2, 0.2, 0.2, 0.2, 0.0952381
